ZONING,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,ZONE_DISTRICT,IZ_DESIGNATION,ZR58,ZR16,GLOBALID,OBJECTID,SHAPEAREA,SHAPELEN
MU-7B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Order 11-06, 09/02/2011; ZC 21-08 renamed zone from MU-7 to MU-7B",Final,MU-7B,Permits medium density mixed-use development,Mixed-Use Zone,,C-3-A,MU-7B,{8082DCFF-BF47-4A5C-9ED6-944DB9908DF9},741052,0,0
PDR-4,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-4/,No change in Zoning based on Zoning Commission Order #821,Final,PDR-4,"Permits high density commercial and production, distribution, and repair activities requiring some heavy machinery, minimizing non-industrial uses","Production, Distribution, and Repair Zone",,M,PDR-4,{46920F26-B099-44DB-9622-C29480387B24},741053,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,Misc map corrections,Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,,C-2-B,MU-5A,{B8AA451F-8588-4DA2-9714-811868B219C1},741054,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Misc map corrections in Square 0502 on Apr 12, 2012",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{57F7DFF4-F0B6-41CE-94B5-269775051AA3},741055,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{F0DE318A-8AC7-4508-97A8-9D0EF11B66EC},741056,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{E5ADE737-D30D-425F-BE1F-618DDB3B4FB9},741057,0,0
StE-19,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-19/,Created by ZC # 12-08 on 4/3/2013,Final,StE-19,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-19,StE-19,{82C04122-E3D6-439B-82BE-4360807BA155},741058,0,0
StE-1,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-1/,Created by ZC # 12-08 on 4/3/2013,Final,StE-1,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-1,StE-1,{16CF3AA8-7BA6-4C71-87C0-613E77132246},741059,0,0
StE-2,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-2/,Created by ZC # 12-08 on 4/3/2013,Final,StE-2,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-2,StE-2,{F1A28BD0-98E3-440A-B8AA-1A25CA3086DD},741060,0,0
StE-4,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/st-elizabeths-east-campus/ste-4/,Created by ZC # 12-08 on 4/3/2013,Final,StE-4,Supports the St. Elizabeth's Campus Master Plan.,Special Purpose Zone,,StE-4,StE-4,{FE074970-94F3-4649-B9D0-38BFC93F8B16},741061,0,0
