X,Y,OBJECTID,FEATURECODE,DESCRIPTION,CAPTUREYEAR,CAPTUREACTION,GIS_ID
-76.992961194553,38.8467841044749,6897,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7884
-76.9917866251042,38.8466518919305,6898,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7877
-76.9891246372157,38.8464822435425,6899,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8106
-76.9889070192218,38.8463475918909,6900,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8105
-76.9927134416766,38.8463404234786,6901,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8104
-76.9944204992421,38.8463217799596,6902,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7852
-76.9905198779664,38.8460181240574,6903,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7876
-76.9885927301003,38.8459980340099,6904,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8102
-76.990551081199,38.8459539954776,6905,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7875
-76.9907951702063,38.8457519465754,6906,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7871
-77.0105458851636,38.8457419955565,6907,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5885
-76.9907999316733,38.8457213632838,6908,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7872
-76.9934233140256,38.8455426688507,6909,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7861
-76.989242789017,38.8455164592625,6910,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7885
-76.9935621838004,38.845377254528,6911,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7859
-76.9891169279621,38.8453661056717,6912,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7886
-76.9930839383282,38.8450939206087,6913,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7862
-76.9877827557334,38.8450878559749,6914,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8100
-76.9866098891967,38.8450430814987,6915,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8095
-76.9902130869755,38.8450406104863,6916,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7887
-76.9866575121836,38.8450317633355,6917,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8093
-76.9879337410833,38.8449425384345,6918,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8098
-76.9900331420595,38.844887118387,6919,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7895
-76.9901026623481,38.8448774492308,6920,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7888
-76.9919962729532,38.8447751143186,6921,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7864
-76.9920291037322,38.8447676035211,6922,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7865
-76.9876207133243,38.844755778612,6923,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8092
-76.9875581064915,38.8447533486851,6924,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8091
-76.9916953014333,38.8447393387807,6925,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7867
-76.9915179405553,38.8447279934069,6926,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7869
-76.9877497950412,38.8447077051459,6927,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8090
-76.9910068638255,38.8446467350174,6928,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7870
-76.9922566235549,38.8446374107622,6929,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7863
-76.9904937406307,38.8445444665276,6930,7637,Grate Inlet,2019/04/23 00:00:00+00,A,GratePt_7890
-77.0104415613254,38.8441408168926,6931,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5886
-77.0106805172639,38.8430005871205,6932,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5888
-76.99831787072,38.842704947147,6933,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8068
-76.9983185049571,38.8426753904374,6934,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8066
-76.998315798638,38.8426485902648,6935,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8065
-76.9829834996187,38.8420620293951,6936,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8087
-76.9829747371929,38.8420477227,6937,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8086
-77.0124168542842,38.8417358272786,6938,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5889
-77.0194369844353,38.8415438090743,6939,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5891
-76.9756829237258,38.84136430269,6940,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8096
-77.0114274220706,38.8410697804868,6941,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_5893
-76.9853572626292,38.8407941956934,6942,7637,Grate Inlet,2015/04/24 00:00:00+00,E,GratePt_8085
